Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,382852652.399228
1995,382674489.731127
1996,376331359.016344
1997,388650032.191026
1998,394946075.329365
1999,417377088.461971
2000,419900909.808004
2001,405671740.966617
2002,426540031.176038
2003,441431442.674294
2004,420976628.404946
2005,403925371.885753
2006,417341592.213193
2007,376299198.951918
2008,436120644.026714
2009,385484663.558816
2010,399967839.746202
2011,434799647.204352
2012,438295160.228865
2013,438387260.345133
2014,426128494.822143
2015,442040672.627438
2016,518954470.62553
2017,537020587.164791
2018,531435736.693572
2019,552891893.603943
2020,553528695.714031
2021,549139766.305883
2022,526646453.292662
2023,542610627.444978
2024,..
2025,..
