Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,0.0014
1971,0.0015
1972,0.0017
1973,0.0017
1974,0.0017
1975,0.0018
1976,0.0019
1977,0.002
1978,0.0021
1979,0.0023
1980,0.0025
1981,0.0026
1982,0.0027
1983,0.0029
1984,0.0029
1985,0.0031
1986,0.0034
1987,0.0034
1988,0.0035
1989,0.0036
1990,0.0038
1991,0.004
1992,0.0041
1993,0.0043
1994,0.0045
1995,0.0048
1996,0.0049
1997,0.0047
1998,0.0049
1999,0.005
2000,0.0053
2001,0.0055
2002,0.0058
2003,0.006
2004,0.0062
2005,0.0066
2006,0.0069
2007,0.0072
2008,0.0076
2009,0.0079
2010,0.0084
2011,0.0089
2012,0.0093
2013,0.0098
2014,0.0102
2015,0.0108
2016,0.0111
2017,0.0117
2018,0.0123
2019,0.0129
2020,0.0134
2021,0.014
2022,0.0145
2023,0.0151
2024,..
