Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,7993800000
2001,14517200000
2002,12315100000
2003,17253400000
2004,13384400000
2005,11011900000
2006,18145999000
2007,36302336700
2008,40394105100
2009,38113105000
2010,32692404100
2011,35687022800
2012,36324454195.2388
2013,38214226673.8575
2014,37208243425.242
2015,43669019369.4025
2016,30808132148.8599
2017,33781003249.6199
2018,37061586967.4752
2019,33259031347.1981
2020,28930197814.7785
2021,33194388076.4695
2022,32884514496.7736
2023,32087051338.3809
2024,..
2025,..
