Year,Value
1960,..
1961,..
1962,23.6545659230876
1963,30.8649667616937
1964,28.7820414880755
1965,28.9886640340795
1966,26.9106987608869
1967,30.2694402317233
1968,33.1243928696497
1969,26.1493972065125
1970,33.5818043956629
1971,33.2180802485537
1972,25.5301774834529
1973,26.7194719902642
1974,18.7886767591862
1975,20.3131814064972
1976,26.864188338162
1977,15.8721331312074
1978,19.1609382511707
1979,13.3799765584375
1980,13.5879837480674
1981,9.97890321589305
1982,8.02478683875551
1983,6.55958235392474
1984,5.12881412819363
1985,4.60995813124309
1986,4.69996078921382
1987,2.29421933771457
1988,..
1989,3.31329504094028
1990,3.04222694484541
1991,2.75070948159254
1992,1.40378329745874
1993,1.86505703149867
1994,1.5340638658654
1995,1.45338426630953
1996,1.70028383857883
1997,1.28438162896918
1998,1.35332448215481
1999,1.34201377418027
2000,1.12015199042317
2001,0.854995593988319
2002,0.811020607359997
2003,0.800333223561425
2004,0.654054799315691
2005,0.515586655056288
2006,0.506136531620904
2007,0.448484481170993
2008,0.378653583172488
2009,0.36878375185494
2010,0.432654558354129
2011,0.548776144921812
2012,0.418232928080148
2013,0.487007346627483
2014,0.499305009497906
2015,0.496534599563158
2016,0.510556454577178
2017,0.432940176986524
2018,0.49553801380919
2019,0.492281554810085
2020,0.522807354707867
2021,0.608792396342804
2022,0.676480522095706
2023,0.701191792654954
2024,0.639232316835774
2025,..
