Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,952000000
1986,2223000000
1987,6684000000
1988,21701000000
1989,50888000000
1990,88973000000
1991,141981000000
1992,233821000000
1993,328640000000
1994,404681000000
1995,634460000000
1996,771800000000
1997,856260000000
1998,852800000000
1999,1131000000000
2000,1233791141400
2001,1348080531600
2002,1559761791500
2003,1942629458200
2004,2308643384600
2005,2765636684700
2006,2972441112500
2007,3587450706200
2008,4483263275600
2009,9872957230400
2010,11748765635000
2011,14058416558000
2012,14775398848000
2013,19435850455000
2014,17767334876000
2015,17270832209000
2016,22160702079000
2017,21377019632000
2018,21942247921000
2019,25348747323000
2020,25018719236100
2021,23950858740900
2022,27468808619100
2023,28863545991000
2024,29206561405400
2025,..
