Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,10.2366806447024
1971,10.0588213914886
1972,10.3250091081653
1973,10.5429671432393
1974,10.8577463327942
1975,11.4704489750446
1976,10.8449148368675
1977,10.6517667705462
1978,10.7169016804439
1979,11.2284657010793
1980,11.8764424772346
1981,11.9112621766806
1982,11.5823198314766
1983,10.1027242572048
1984,9.48739845088473
1985,9.61950416915669
1986,9.63234190998881
1987,10.1784782169622
1988,10.8014410874193
1989,10.2936082728096
1990,9.30980932565778
1991,9.8321330637077
1992,10.3659200777653
1993,10.5441578788124
1994,10.5401354120638
1995,10.5952769138156
1996,10.9909977906163
1997,10.8495987863539
1998,10.6538490034823
1999,10.9567718649115
2000,10.357246297386
2001,10.225239299003
2002,10.4242410564381
2003,10.7073783686752
2004,11.3149940240282
2005,11.3528909957511
2006,11.9574489300217
2007,11.6844346833061
2008,12.7522237602648
2009,12.535455973869
2010,11.5904091509019
2011,11.9267169147761
2012,12.0726113591739
2013,11.679869621506
2014,11.6880799109981
2015,11.7793348430248
2016,11.8013199841505
2017,11.5139483148282
2018,11.3893099907086
2019,11.550109119082
2020,11.3578297883358
2021,12.444979605175
2022,12.1236964793848
2023,12.6700630829074
2024,13.177599400931
2025,..
