Year,Value
1960,67.0748940178992
1961,74.5797249108507
1962,76.7955801104972
1963,71.1189220855302
1964,65.0105708245243
1965,65.9394792399719
1966,59.0536277602524
1967,64.0442532267978
1968,61.8516086671044
1969,63.2630534343043
1970,58.9637347296496
1971,58.0345999411025
1972,52.8271539890741
1973,44.7470998011701
1974,50.117984977568
1975,62.0845801396916
1976,45.8122150115128
1977,49.11656057602
1978,47.7056528087688
1979,42.8750758504828
1980,40.599304013342
1981,40.7577924202065
1982,38.0075224755218
1983,32.8831082760335
1984,34.9309112776741
1985,35.5092829939944
1986,44.8310082231171
1987,44.333553911959
1988,45.7246596916551
1989,41.5303070496234
1990,43.322818086225
1991,42.0970448370892
1992,47.3102025966299
1993,44.8299796929166
1994,44.6334603323382
1995,44.4594244889411
1996,43.6198368503351
1997,45.0566286926337
1998,46.0770899143587
1999,46.1081282201022
2000,41.0172882099174
2001,38.3310346925323
2002,41.413893653695
2003,41.7058978996576
2004,37.4063898081484
2005,32.8436175310727
2006,24.5411232234135
2007,27.6344481945932
2008,32.2128043793535
2009,28.7806639929549
2010,31.5765852454435
2011,31.3964843131427
2012,31.8164770639091
2013,31.1744657718858
2014,31.8864476400984
2015,34.7629818358588
2016,32.4109719593625
2017,33.6984605382688
2018,30.0607596773738
2019,26.5629434048233
2020,31.6222738640368
2021,23.9293594830256
2022,27.8651537531031
2023,29.7162391811848
2024,..
2025,..
