Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,115.6392
1971,113.803
1972,115.2055
1973,118.2379
1974,111.5589
1975,103.8471
1976,114.0529
1977,111.3162
1978,112.5194
1979,105.9868
1980,92.9895
1981,87.3237
1982,80.1013
1983,87.1374
1984,80.6315
1985,76.6334
1986,76.6359
1987,74.2756
1988,73.3087
1989,69.6504
1990,55.9593
1991,54.8308
1992,55.3972
1993,56.5166
1994,58.35
1995,59.4017
1996,59.7372
1997,56.807
1998,54.4796
1999,53.3974
2000,52.0216
2001,46.7612
2002,45.5475
2003,43.9729
2004,42.8556
2005,42.3849
2006,40.37
2007,42.2012
2008,37.1537
2009,33.2834
2010,35.3559
2011,35.5815
2012,34.1721
2013,35.5777
2014,35.3434
2015,34.3367
2016,33.8433
2017,33.524
2018,33.7747
2019,33.4475
2020,32.9244
2021,33.9148
2022,34.9749
2023,33.4739
2024,33.8945
2025,..
