Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,5.04995363044825
2003,7.49381949733702
2004,8.65552053089488
2005,11.4721572812349
2006,11.016404864953
2007,11.030401230699
2008,10.1188301654814
2009,-4.62387968319902
2010,-2.48066892662768
2011,-0.815525880591536
2012,3.74006945054908
2013,4.9075077743386
2014,5.11323383040244
2015,4.35232602873297
2016,3.27343939975971
2017,4.76608982999816
2018,3.11637634849853
2019,4.61381883806475
2020,8.18413406113403
2021,6.03718778127237
2022,3.19785604701368
2023,1.99045427070447
2024,0.596838843108153
2025,..
