Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,144018262.307215
1991,152534388.192983
1992,157897097.725327
1993,160147342.371086
1994,173072946.975757
1995,177485936.636954
1996,173295502.846993
1997,170767332.52157
1998,167082455.648453
1999,175249708.927997
2000,136325391.851722
2001,109306767.25121
2002,89193758.1755122
2003,89148456.6478186
2004,98499116.8444486
2005,114162492.873879
2006,129865098.523881
2007,157595601.250752
2008,195802970.042111
2009,211785675.315786
2010,302243676.338909
2011,361755472.701737
2012,403955809.766251
2013,433010743.06584
2014,477013213.903742
2015,505445426.808571
2016,506965670.809514
2017,357678081.52374
2018,294679136.131752
2019,327534720.19261
2020,326158073.046008
2021,352058201.961115
2022,..
2023,..
2024,..
2025,..
