Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,0
2001,0.00107704
2002,0.00018573
2003,3.85530782
2004,2.7263248
2005,3.97712684
2006,2.09718275
2007,1.84729791
2008,1.51909614
2009,1.51474798
2010,1.49865663
2011,1.72345579
2012,1.26832926
2013,1.58226573
2014,1.92020702
2015,1.37646008
2016,0.96426839
2017,1.05472589
2018,0.81049961
2019,0.05306569
2020,0.04834881
2021,0.02530133
2022,0.2105884
2023,0.10427919
2024,..
2025,..
