Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,97.6
2001,97.4
2002,97.3
2003,97.25
2004,97.2
2005,97.1
2006,97.1
2007,96.9
2008,97
2009,96.9
2010,96.8
2011,96.7
2012,96.5
2013,96.5
2014,96.3
2015,96.1
2016,95.8
2017,95.5
2018,95.4
2019,94.9
2020,94.55
2021,94.4
2022,93.9
2023,93.5
2024,..
2025,..
