Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,..
2008,..
2009,..
2010,276.862593095047
2011,480.192076830732
2012,628.535512256443
2013,675.669421793578
2014,621.048923824178
2015,529.188948306595
2016,837.084712972953
2017,1053.3086007774
2018,859.805048550948
2019,1181.22416072148
2020,649.167372283376
2021,472.277321243034
2022,607.135742270877
2023,305.003002373305
2024,5614.26367877981
2025,..
