Year,Value
1960,50.7585622142143
1961,51.0710354754043
1962,50.9304449954326
1963,50.8000096532085
1964,50.671275646744
1965,50.5342564844477
1966,50.4027818023761
1967,50.2895647423056
1968,50.2031852530737
1969,50.1329765267522
1970,50.0908293660737
1971,50.2208805772346
1972,50.4748793681254
1973,50.703258099024
1974,50.9199127375443
1975,51.1433102129256
1976,51.3692636197099
1977,51.5876325845103
1978,51.8026524040823
1979,52.0056760420197
1980,52.0944007787339
1981,52.0550747764889
1982,51.9895378189597
1983,51.9286849144259
1984,51.8778827146936
1985,51.8333697097165
1986,51.7985966505147
1987,51.7713903743316
1988,51.7401027975046
1989,51.6992386782827
1990,51.6846354599392
1991,51.7225028547098
1992,51.776017774543
1993,51.8296039021428
1994,51.8869256620007
1995,51.9467893167307
1996,52.0056880495195
1997,52.0645406015525
1998,52.130563907694
1999,52.2016633356972
2000,52.2863537148067
2001,52.320181339034
2002,52.2948218930436
2003,52.2644701444934
2004,52.2297955209348
2005,52.2010649864786
2006,52.1768264308981
2007,52.1612623450746
2008,52.1634255796559
2009,52.1829541303309
2010,52.1902719379933
2011,52.1619493125599
2012,52.1194281714719
2013,52.0895334296267
2014,52.0705882352941
2015,52.0130077408028
2016,51.9036272715187
2017,51.786746848618
2018,51.662495530926
2019,51.5262050754151
2020,51.5677376690306
2021,51.7902388131571
2022,52.0027281029281
2023,52.2082589468034
2024,52.3968246490154
2025,..
