Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,36.2838392124692
1991,36.2838392124692
1992,36.2838392124692
1993,36.2838392124692
1994,36.2838392124692
1995,36.2838392124692
1996,36.2838392124692
1997,36.2838392124692
1998,36.2838392124692
1999,36.2838392124692
2000,36.2838392124692
2001,36.2838392124692
2002,36.2838392124692
2003,36.2838392124692
2004,36.2838392124692
2005,36.2838392124692
2006,36.2838392124692
2007,36.2838392124692
2008,36.2838392124692
2009,36.2838392124692
2010,36.2838392124692
2011,36.2838392124692
2012,36.2838392124692
2013,36.2838392124692
2014,36.2838392124692
2015,36.2838392124692
2016,36.2838392124692
2017,36.2838392124692
2018,36.2838392124692
2019,36.2838392124692
2020,36.2838392124692
2021,36.2838392124692
2022,36.2838392124692
2023,36.2838392124692
2024,..
2025,..
