Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,2568000000
1981,3328000000
1982,4038000100
1983,5933998100
1984,7758000000
1985,6392000000
1986,4418000000
1987,5142000000
1988,5509000000
1989,6270000000
1990,8730000000
1991,8997000000
1992,10144000000
1993,10519000000
1994,11566000000
1995,11708000000
1996,12589000000
1997,15459000000
1998,14145000000
1999,12930000000
2000,14669000000
2001,14226000000
2002,15466000000
2003,16629000000
2004,18606000000
2005,19582000000
2006,20063000000
2007,21999000000
2008,27823000000
2009,31980000000
2010,31665000000
2011,31425000000
2012,35547000000
2013,37052000000
2014,38555000000
2015,36669000000
2016,41393000000
2017,45224000000
2018,57047000000
2019,54096000000
2020,19384000000
2021,9938000000
2022,11471000000
2023,..
2024,..
2025,..
