Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,100061111.434306
1980,103613951.853804
1981,97221779.4275044
1982,93391292.2522036
1983,100180736.298682
1984,125359978.010682
1985,118370274.520899
1986,118353819.025739
1987,118747103.951788
1988,140742350.583188
1989,148255875.993175
1990,167478577.233897
1991,177036610.852436
1992,179138407.471427
1993,171964981.370444
1994,196281450.109531
1995,212620207.651346
1996,229641760.130327
1997,242495280.91827
1998,254008427.862842
1999,262915203.563819
2000,259048248.272221
2001,253925387.698925
2002,251067100.063619
2003,300079298.355475
2004,346279173.450219
2005,368951570.903395
2006,419245480.554182
2007,491651927.272727
2008,588513993.508231
2009,570475109.55812
2010,649212987.003579
2011,751132267.723025
2012,704726363.513696
2013,757991099.241082
2014,785885159.466768
2015,772719949.313862
2016,821782764.692325
2017,882354697.630652
2018,941304759.224799
2019,1070449523.89253
2020,1013095042.46837
2021,1087394696.32946
2022,1212347284.2279
2023,1270559413.99937
2024,1284203972.77876
2025,..
