Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,7.43
2001,7.48
2002,7.62
2003,7.64
2004,7.64
2005,7.53
2006,7.92
2007,7.78
2008,7.59
2009,7.74
2010,7.51
2011,7.58
2012,7.67
2013,7.47
2014,7.09
2015,7.11
2016,6.99
2017,6.96
2018,6.91
2019,6.96
2020,6.47
2021,6.61
2022,..
2023,..
2024,..
2025,..
