Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,25.280926716091
1971,24.8170879975252
1972,25.2281351786342
1973,26.6640138396159
1974,26.8735322670358
1975,24.6940896518627
1976,25.4094569872322
1977,25.501008374861
1978,25.7299619489974
1979,25.921920294928
1980,25.5599729584036
1981,25.9152761052791
1982,24.259569307577
1983,23.4616057188163
1984,24.3144535634087
1985,24.1566917792115
1986,23.584275677734
1987,23.8446816822704
1988,24.4854896617395
1989,24.8817270115153
1990,24.4960951071918
1991,24.2189871007225
1992,23.8919458846873
1993,23.5336727638454
1994,23.8860731918518
1995,24.6458212128065
1996,24.6311042120699
1997,24.6879135365268
1998,24.2789902867167
1999,23.6555560872437
2000,23.9533610043388
2001,23.0702538284062
2002,22.7009529014856
2003,22.7956026831535
2004,23.6989738923781
2005,24.2381727990363
2006,25.1478719601258
2007,25.8076212541288
2008,25.8115392307913
2009,23.7442984319517
2010,25.3372946939983
2011,26.1040221213899
2012,26.3376956906324
2013,26.4877896275473
2014,26.6947926859049
2015,26.5038631876975
2016,26.1660876773283
2017,26.638967685307
2018,27.1364891684114
2019,27.0933825070045
2020,26.6868777887629
2021,27.880063000651
2022,27.906301019873
2023,26.8344729418313
2024,26.3843264452568
2025,..
