Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,0.0516
1971,0.0513
1972,0.0512
1973,0.0516
1974,0.0547
1975,0.0586
1976,0.0601
1977,0.06
1978,0.0619
1979,0.0643
1980,0.0673
1981,0.0713
1982,0.0758
1983,0.0775
1984,0.0811
1985,0.0886
1986,0.1007
1987,0.111
1988,0.1113
1989,0.1105
1990,0.1088
1991,0.1083
1992,0.1046
1993,0.1069
1994,0.1084
1995,0.1048
1996,0.1047
1997,0.1046
1998,0.1062
1999,0.1064
2000,0.1075
2001,0.1186
2002,0.1188
2003,0.1205
2004,0.1221
2005,0.1223
2006,0.1223
2007,0.116
2008,0.1136
2009,0.1183
2010,0.129
2011,0.1349
2012,0.1384
2013,0.1408
2014,0.1412
2015,0.1507
2016,0.135
2017,0.1257
2018,0.1118
2019,0.0936
2020,0.0833
2021,0.1079
2022,0.1029
2023,0.0995
2024,0.097
2025,..
