Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,..
2008,..
2009,..
2010,0.157218344880416
2011,0.0556928474224113
2012,0.219361427618748
2013,0.332447931234021
2014,0.555290118880096
2015,0.453323112564716
2016,0.483197125597844
2017,0.284294487567502
2018,0.436153071474013
2019,0.177778887942055
2020,0.317736501290426
2021,0.267216790478436
2022,0.217824152192317
2023,0.548746124192992
2024,..
2025,..
