Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,10653.7636966727
1991,12205.7897876821
1992,14389.5451040575
1993,16773.3514847229
1994,20837.88078714
1995,30958.793571683
1996,42838.2959407161
1997,49468.231283809
1998,46573.9669596893
1999,62527.2341458647
2000,79410.864404205
2001,82175.8588029643
2002,90136.7529752457
2003,100697.699271625
2004,116020.394867348
2005,140784.950999525
2006,159708.829434106
2007,177178.266772848
2008,214074.439470848
2009,196607.815487391
2010,253671.038323547
2011,253668.356241913
2012,266815.917619361
2013,296279.593849163
2014,307327.987009926
2015,314435.117075664
2016,276900.471238447
2017,302379.012055905
2018,339699.841188761
2019,359036.047417694
2020,415759.889128956
2021,536865.030536698
2022,686509.288116363
2023,577759.391951659
2024,789892.825140248
