Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,159999.996423721
1994,39999.9991059303
1995,79999.9982118607
1996,..
1997,39999.9991059303
1998,..
1999,119999.997317791
2000,170000.001788139
2001,109999.999403954
2002,2009999.99046326
2003,270000.010728836
2004,400000.005960464
2005,639999.985694885
2006,250000
2007,100000.001490116
2008,150000.005960464
2009,50000.0007450581
2010,50000.0007450581
2011,70000.0002980232
2012,56554.9992024899
2013,1458248.97289276
2014,1621116.04213715
2015,1258934.97467041
2016,1243322.96848297
2017,1362128.01933289
2018,1381178.02143097
2019,1231147.05085754
2020,1079853.05786133
2021,1024021.02947235
2022,998728.99055481
2023,3162462.94975281
2024,..
2025,..
