Year,Value
1960,..
1961,2.14644095250323
1962,3.1149003236731
1963,6.45091718923987
1964,8.18929162087943
1965,3.59469141833577
1966,4.67049161001296
1967,4.48780762516191
1968,7.35406931516644
1969,6.96208357110942
1970,6.55445566241572
1971,4.70629003033569
1972,4.27655104908442
1973,7.58074971019131
1974,5.24536104124687
1975,3.63025210084034
1976,1.57698263244579
1977,-0.868944133019198
1978,1.64009438311213
1979,2.47604585220324
1980,8.58954436073462
1981,7.30386266612726
1982,2.09774141330017
1983,3.00567053919268
1984,4.59517233568383
1985,-3.4566050734276
1986,0.15870142142424
1987,3.85535114697666
1988,5.3114355479031
1989,2.74017329949467
1990,2.87346445540398
1991,-0.517084616065247
1992,-1.42329736050145
1993,1.89076181764725
1994,4.00726841785706
1995,5.92661310461757
1996,4.47177777463799
1997,3.25746272638926
1998,1.74250476665394
1999,1.73772349288946
2000,4.13820637292449
2001,3.49314187073064
2002,3.17259594622521
2003,2.83151633188959
2004,6.24049208785395
2005,6.13342926133602
2006,8.77625658969221
2007,6.51796018994051
2008,1.21103604914516
2009,-2.59091292453812
2010,5.68617493169101
2011,4.05359984998131
2012,3.22613329575299
2013,1.55110037210125
2014,0.720125063885632
2015,2.15765567911947
2016,0.682561907636781
2017,1.71421461429489
2018,3.16257221804601
2019,1.2818542117719
2020,-6.12253832171625
2021,6.00496569393434
2022,2.64271592285705
2023,0.226809210853119
2024,0.983942879020432
2025,..
