Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,46.699932341955
1971,53.4899281117582
1972,52.9059736406643
1973,45.8907665790275
1974,43.9379109211226
1975,74.004975192188
1976,75.9562187557537
1977,97.1830454580142
1978,97.8534089094816
1979,99.1698715630397
1980,90.4832053065349
1981,92.669289137594
1982,100.756323268905
1983,121.981605138484
1984,153.57622700041
1985,225.95569530271
1986,414.942857751139
1987,337.281512810581
1988,201.742108142264
1989,182.660213749883
1990,229.538020722046
1991,232.498520026532
1992,233.666931212624
1993,214.606589149781
1994,199.05592954765
1995,195.170857636692
1996,208.186285512222
1997,164.339726879577
1998,207.250294398503
1999,183.714702165448
2000,168.74595025929
2001,157.635418691761
2002,165.237577725425
2003,144.62151406803
2004,129.644064882373
2005,69.7392192459111
2006,19.4214830465834
2007,21.8985577061852
2008,17.7868258785837
2009,24.4196980321342
2010,22.8577652777151
2011,23.3139842267552
2012,24.6574539542756
2013,24.8009879997029
2014,36.2953659204568
2015,59.0750571840252
2016,77.571432468707
2017,96.0061537858578
2018,95.0251331352744
2019,128.346607422193
2020,167.518099257658
2021,133.551637288097
2022,103.673945530947
2023,110.675742084891
2024,114.201909487961
2025,..
