Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,819999.992847443
1969,1580000.04291534
1970,2319999.9332428
1971,2900000.09536743
1972,3440000.05722046
1973,3049999.95231628
1974,2690000.05722046
1975,4300000.19073486
1976,3450000.04768372
1977,1980000.01907349
1978,1899999.97615814
1979,2299999.95231628
1980,4460000.03814697
1981,4510000.22888184
1982,3519999.98092651
1983,2319999.9332428
1984,2359999.89509583
1985,2000000
1986,1870000.00476837
1987,1659999.9666214
1988,3630000.11444092
1989,6079999.92370605
1990,6510000.22888184
1991,7110000.1335144
1992,4070000.17166138
1993,3579999.92370605
1994,3799999.95231628
1995,3140000.10490417
1996,5710000.03814697
1997,9500000
1998,5940000.05722046
1999,5519999.98092651
2000,3109999.89509583
2001,2789999.96185303
2002,2769999.98092651
2003,2450000.04768372
2004,4340000.15258789
2005,5269999.98092651
2006,8359999.65667725
2007,3710000.03814697
2008,12609999.6566772
2009,-239999.994635582
2010,6039999.96185303
2011,4000000
2012,4440185.07003784
2013,4265991.2109375
2014,3962634.08660889
2015,3914205.0743103
2016,3807284.116745
2017,2938781.97669983
2018,1908354.99763489
2019,3070410.01319885
2020,2331302.88124084
2021,2434194.08798218
2022,3624142.88520813
2023,..
2024,..
2025,..
