Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,17645269.39
1978,12892250.06
1979,19397583.01
1980,16891616.82
1981,28294628.14
1982,32895336.15
1983,19556180.95
1984,3806286.573
1985,619640.8272
1986,785054.6241
1987,1143025.756
1988,1382946.491
1989,712248.8618
1990,848635.8523
1991,349842.1311
1992,587726.891
1993,1125808.835
1994,43685417.18
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,..
2008,..
2009,1205656948.574
2010,1413248656.7315
2011,1919476002.19345
2012,2113579667.55738
2013,1890271472.97894
2014,1903970851.55067
2015,2046579806.18273
2016,1856034930.78343
2017,1729883817.47581
2018,1427703019.441
2019,1417011952.8873
2020,1832039380.8915
2021,2573626885.68751
2022,3085043420.98221
2023,3301267763.74878
2024,3509895073.35255
2025,..
