Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,8325182.80398954
1991,8190380.14867465
1992,6399030.52328212
1993,6221174.41954471
1994,6530942.44043491
1995,6740059.53710619
1996,8106543.8494429
1997,8084282.23326272
1998,6067711.36332389
1999,6499918.27320508
2000,6340534.57438314
2001,6423423.57079871
2002,6010873.19435321
2003,5428518.78810781
2004,5502408.40776969
2005,5454806.44125674
2006,5159721.61401731
2007,5015731.58595826
2008,4185183.84187423
2009,5910410.8541473
2010,7363146.84673404
2011,8622907.91729331
2012,10465260.7358262
2013,11673684.0599079
2014,11921052.5466557
2015,12206924.3432617
2016,12565066.2413079
2017,39144878.8982676
2018,42566936.957372
2019,129739500
2020,820408600.000001
2021,1857829500
2022,7383888700
2023,67558760600
2024,822938291500.002
2025,..
