Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,77.8582305908203
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,71.6787261962891
1999,..
2000,..
2001,47.8791999816895
2002,61.6209602355957
2003,..
2004,..
2005,..
2006,..
2007,..
2008,..
2009,..
2010,..
2011,..
2012,75.4824295043945
2013,..
2014,..
2015,79.015739440918
2016,77.1742935180664
2017,80.6516494750977
2018,82.5910034179688
2019,84.4236221313477
2020,..
2021,..
2022,..
2023,..
2024,..
2025,..
